run_name,algorithm,traffic_generation_rate_mbps,num_flows,num_reachable_flows,num_unreachable_flows,num_unreachable_pairs,topology_reachability,throughput_mbps,throughput_active_window_mbps,load_balance_jain,avg_delay_ms,median_delay_ms,p95_delay_ms,reachable_avg_delay_ms,reachable_median_delay_ms,reachable_p95_delay_ms,drop_rate,topology_drop_rate,congestion_drop_rate,reachable_drop_rate,completion_rate,reachable_completion_rate
tm_poisson_0_05_Mbps_with_TcpHybla_spf,spf,0.05,24,24,0,0,1.0,0.44,0.44,0.014105484971278025,29.705305738968093,28.645399,55.4542945,29.705305738968093,28.645399,55.4542945,0.08333333333333337,0.0,0.08333333333333337,0.08333333333333337,0.9166666666666666,0.9166666666666666
tm_poisson_0_09_Mbps_with_TcpHybla_spf,spf,0.09,41,41,0,0,1.0,0.78,0.78,0.017615654883895195,32.282002430327076,29.9845635,57.66486,32.282002430327076,29.9845635,57.66486,0.04878048780487809,0.0,0.04878048780487809,0.04878048780487809,0.9512195121951219,0.9512195121951219
tm_poisson_0_1_Mbps_with_TcpHybla_spf,spf,0.1,46,46,0,0,1.0,0.9,0.9,0.020969961110065796,31.729737388445553,29.4594275,57.1861055,31.729737388445553,29.4594275,57.1861055,0.021739130434782594,0.0,0.021739130434782594,0.021739130434782594,0.9782608695652174,0.9782608695652174
tm_poisson_0_4_Mbps_with_TcpHybla_spf,spf,0.4,150,150,0,0,1.0,2.6004416,2.6004416,0.021039777639388996,34.568926417959,28.6441865,57.5207155,34.568926417959,28.6441865,57.5207155,0.1331861333333333,0.0,0.1331861333333333,0.1331861333333333,0.8666666666666667,0.8666666666666667
tm_poisson_0_8_Mbps_with_TcpHybla_spf,spf,0.8,343,343,0,0,1.0,5.66208,5.66208,0.024380538784742594,42.0700957679561,26.8750135,65.4337285,42.0700957679561,26.8750135,65.4337285,0.1746239067055394,0.0,0.1746239067055394,0.1746239067055394,0.8221574344023324,0.8221574344023324
tm_poisson_1_2_Mbps_with_TcpHybla_spf,spf,1.2,517,517,0,0,1.0,7.9679535999999995,7.9679535999999995,0.028971227081540037,58.80033845321798,28.137432,81.270077,58.80033845321798,28.137432,81.270077,0.2294048742746615,0.0,0.2294048742746615,0.2294048742746615,0.7562862669245648,0.7562862669245648
tm_poisson_1_6_Mbps_with_TcpHybla_spf,spf,1.6,672,672,0,0,1.0,9.2128984,9.2128984,0.028700358228780948,67.49500452787686,28.6529455,81.979728,67.49500452787686,28.6529455,81.979728,0.31451648809523813,0.0,0.31451648809523813,0.31451648809523813,0.6502976190476191,0.6502976190476191
tm_poisson_2_0_Mbps_with_TcpHybla_spf,spf,2.0,812,812,0,0,1.0,10.0838224,10.0838224,0.02961452367911435,68.7035149441343,28.5894875,87.967367,68.7035149441343,28.5894875,87.967367,0.3790749753694581,0.0,0.3790749753694581,0.3790749753694581,0.5701970443349754,0.5701970443349754
tm_poisson_2_4_Mbps_with_TcpHybla_spf,spf,2.4,1003,1003,0,0,1.0,10.6478144,10.6478144,0.02973965226556041,67.56726571779664,27.2311535,87.746148,67.56726571779664,27.2311535,87.746148,0.4692016749750748,0.0,0.4692016749750748,0.4692016749750748,0.42273180458624127,0.42273180458624127
tm_poisson_0_05_Mbps_with_TcpHybla_ucb,ucb,0.05,24,24,0,0,1.0,0.4395408,0.4395408,0.927303167957087,57.64331710360094,29.70806,197.0,57.64331710360094,29.70806,197.0,0.08428999999999998,0.0,0.08428999999999998,0.08428999999999998,0.875,0.875
tm_poisson_0_09_Mbps_with_TcpHybla_ucb,ucb,0.09,41,41,0,0,1.0,0.82,0.82,0.8992582603558502,50.73625692469583,28.238853,175.0151225,50.73625692469583,28.238853,175.0151225,0.0,0.0,0.0,0.0,1.0,1.0
tm_poisson_0_1_Mbps_with_TcpHybla_ucb,ucb,0.1,46,46,0,0,1.0,0.8857784000000001,0.8857784000000001,0.8914407598805374,48.286157606557374,27.813689,105.900518,48.286157606557374,27.813689,105.900518,0.03719739130434785,0.0,0.03719739130434785,0.03719739130434785,0.9347826086956522,0.9347826086956522
tm_poisson_0_4_Mbps_with_TcpHybla_ucb,ucb,0.4,150,150,0,0,1.0,2.7895344,2.7895344,0.9236443753638209,66.80028820987748,26.2118365,217.110966,66.80028820987748,26.2118365,217.110966,0.07015519999999997,0.0,0.07015519999999997,0.07015519999999997,0.9,0.9
tm_poisson_0_8_Mbps_with_TcpHybla_ucb,ucb,0.8,343,343,0,0,1.0,5.926172,5.926172,0.9435107047152413,67.89732089884016,26.799243,228.570864,67.89732089884016,26.799243,228.570864,0.1361265306122449,0.0,0.1361265306122449,0.1361265306122449,0.8338192419825073,0.8338192419825073
tm_poisson_1_2_Mbps_with_TcpHybla_ucb,ucb,1.2,517,517,0,0,1.0,8.0841736,8.0841736,0.9456657253385979,93.1938612431709,28.4620205,279.583038,93.1938612431709,28.4620205,279.583038,0.21816502901353962,0.0,0.21816502901353962,0.21816502901353962,0.7001934235976789,0.7001934235976789
tm_poisson_1_6_Mbps_with_TcpHybla_ucb,ucb,1.6,672,672,0,0,1.0,9.830912,9.830912,0.9364493638224922,108.22759988462234,28.9949495,306.1473385,108.22759988462234,28.9949495,306.1473385,0.2685333333333333,0.0,0.2685333333333333,0.2685333333333333,0.625,0.625
tm_poisson_2_0_Mbps_with_TcpHybla_ucb,ucb,2.0,812,812,0,0,1.0,9.9311864,9.9311864,0.9457692174056046,138.44237549639718,30.3953935,339.662769,138.44237549639718,30.3953935,339.662769,0.38847374384236455,0.0,0.38847374384236455,0.38847374384236455,0.47044334975369456,0.47044334975369456
tm_poisson_2_4_Mbps_with_TcpHybla_ucb,ucb,2.4,1003,1003,0,0,1.0,10.524091199999999,10.524091199999999,0.9339773587918614,143.2441443682438,31.818996,383.8125,143.2441443682438,31.818996,383.8125,0.475369332003988,0.0,0.475369332003988,0.475369332003988,0.35493519441674976,0.35493519441674976
