算法,流量速率 (Mbps),流数量,平均时延 (ms),P95时延 (ms),丢包率,完成率,Jain指数,吞吐量 (Mbps)
SPF,0.05,24,29.71,55.45,0.0833,0.9167,0.0141,0.44
SPF,0.09,41,32.28,57.66,0.0488,0.9512,0.0176,0.78
SPF,0.1,46,31.73,57.19,0.0217,0.9783,0.021,0.9
SPF,0.4,150,34.57,57.52,0.1332,0.8667,0.021,2.6
SPF,0.8,343,42.07,65.43,0.1746,0.8222,0.0244,5.66
SPF,1.2,517,58.8,81.27,0.2294,0.7563,0.029,7.97
SPF,1.6,672,67.5,81.98,0.3145,0.6503,0.0287,9.21
SPF,2.0,812,68.7,87.97,0.3791,0.5702,0.0296,10.08
SPF,2.4,1003,67.57,87.75,0.4692,0.4227,0.0297,10.65
UCB,0.05,24,57.64,197.0,0.0843,0.875,0.9273,0.44
UCB,0.09,41,50.74,175.02,0.0,1.0,0.8993,0.82
UCB,0.1,46,48.29,105.9,0.0372,0.9348,0.8914,0.89
UCB,0.4,150,66.8,217.11,0.0702,0.9,0.9236,2.79
UCB,0.8,343,67.9,228.57,0.1361,0.8338,0.9435,5.93
UCB,1.2,517,93.19,279.58,0.2182,0.7002,0.9457,8.08
UCB,1.6,672,108.23,306.15,0.2685,0.625,0.9364,9.83
UCB,2.0,812,138.44,339.66,0.3885,0.4704,0.9458,9.93
UCB,2.4,1003,143.24,383.81,0.4754,0.3549,0.934,10.52
