权重配置,流量速率 (Mbps),平均时延 (ms),丢包率,完成率,Jain指数,吞吐量 (Mbps)
SPF,0.05,29.71,0.0833,0.9167,0.0141,0.44
SPF,0.8,42.07,0.1746,0.8222,0.0244,5.66
SPF,1.6,67.5,0.3145,0.6503,0.0287,9.21
Delay-Only,0.05,43.37,0.0867,0.875,0.9569,0.44
Delay-Only,0.8,64.12,0.1462,0.8017,0.9678,5.86
Delay-Only,1.6,101.29,0.3148,0.5833,0.9592,9.21
Load-Only,0.05,79.93,0.118,0.875,0.9597,0.42
Load-Only,0.8,77.25,0.167,0.7784,0.966,5.71
Load-Only,1.6,117.32,0.3138,0.5952,0.9426,9.22
Distance-Only,0.05,65.76,0.0923,0.875,0.4779,0.44
Distance-Only,0.8,69.88,0.1256,0.8542,0.7358,6.0
Distance-Only,1.6,104.11,0.2992,0.6086,0.741,9.42
Delay+Load,0.05,56.84,0.0805,0.9167,0.9593,0.44
Delay+Load,0.8,73.41,0.1414,0.8192,0.9691,5.89
Delay+Load,1.6,110.78,0.2974,0.6027,0.9564,9.44
Delay+Dist,0.05,68.05,0.0562,0.9167,0.7245,0.45
Delay+Dist,0.8,71.71,0.1171,0.8455,0.8839,6.06
Delay+Dist,1.6,106.67,0.2748,0.631,0.8852,9.75
Load+Dist,0.05,56.22,0.1046,0.875,0.8,0.43
Load+Dist,0.8,69.87,0.124,0.8426,0.8246,6.01
Load+Dist,1.6,108.62,0.2874,0.622,0.8047,9.58
Default,0.05,57.64,0.0843,0.875,0.9273,0.44
Default,0.8,67.9,0.1361,0.8338,0.9435,5.93
Default,1.6,108.23,0.2685,0.625,0.9364,9.83
Uniform,0.05,72.89,0.0931,0.875,0.8575,0.44
Uniform,0.8,74.22,0.1162,0.8601,0.9129,6.06
Uniform,1.6,108.52,0.2873,0.631,0.8825,9.58
