带宽 (Mbps),算法,负载速率 (Mbps),平均时延 (ms),丢包率,流完成率,Jain指数,吞吐量 (Mbps)
5.0,SPF算法,0.05,58.78,0.0417,0.9583,0.0138,0.46
5.0,SPF算法,0.8,64.81,0.1438,0.8513,0.0274,5.87
5.0,SPF算法,1.6,74.69,0.2748,0.683,0.0293,9.75
5.0,UCB算法,0.05,99.34,0.1585,0.7917,0.9627,0.4
5.0,UCB算法,0.8,98.73,0.1176,0.8397,0.9606,6.05
5.0,UCB算法,1.6,154.96,0.2767,0.6161,0.9512,9.72
10.0,SPF算法,0.05,29.71,0.0833,0.9167,0.0141,0.44
10.0,SPF算法,0.8,42.07,0.1746,0.8222,0.0244,5.66
10.0,SPF算法,1.6,67.5,0.3145,0.6503,0.0287,9.21
10.0,UCB算法,0.05,57.64,0.0843,0.875,0.9273,0.44
10.0,UCB算法,0.8,67.9,0.1361,0.8338,0.9435,5.93
10.0,UCB算法,1.6,108.23,0.2685,0.625,0.9364,9.83
20.0,SPF算法,0.05,20.03,0.0417,0.9583,0.0141,0.46
20.0,SPF算法,0.8,41.46,0.1625,0.8367,0.0276,5.74
20.0,SPF算法,1.6,55.16,0.3166,0.6518,0.0274,9.18
20.0,UCB算法,0.05,41.01,0.0491,0.9167,0.9085,0.46
20.0,UCB算法,0.8,60.65,0.1292,0.8367,0.9378,5.97
20.0,UCB算法,1.6,91.01,0.2897,0.6101,0.9153,9.55
50.0,SPF算法,0.05,15.58,0.0417,0.9583,0.0136,0.46
50.0,SPF算法,0.8,30.29,0.1689,0.8309,0.0278,5.7
50.0,SPF算法,1.6,52.93,0.3142,0.6503,0.0284,9.22
50.0,UCB算法,0.05,57.45,0.0817,0.9167,0.8923,0.44
50.0,UCB算法,0.8,52.47,0.1527,0.8105,0.8929,5.81
50.0,UCB算法,1.6,94.89,0.2836,0.6146,0.8715,9.63
100.0,SPF算法,0.05,14.69,0.0417,0.9583,0.0137,0.46
100.0,SPF算法,0.8,27.55,0.1619,0.8309,0.0275,5.75
100.0,SPF算法,1.6,51.03,0.3176,0.6443,0.0286,9.17
100.0,UCB算法,0.05,46.65,0.1189,0.875,0.8021,0.42
100.0,UCB算法,0.8,54.02,0.1483,0.8192,0.8845,5.84
100.0,UCB算法,1.6,91.22,0.2987,0.5952,0.8471,9.43
